x_center,weight,native_sin,native_cos,std_sin,std_cos
-2.403747895,3.067970276e-03,7.619536796e-01,1.649614401e+00,3.691362183e-01,3.717380121e-01
-2.400679933,3.067970276e-03,7.814511254e-01,1.592852495e+00,3.703457186e-01,3.717843291e-01
-2.397611971,3.067970276e-03,7.941128894e-01,1.551782891e+00,3.693787705e-01,3.729073747e-01
-2.394544010,3.067970276e-03,8.062019242e-01,1.525804794e+00,3.709693453e-01,3.725576462e-01
-2.391476048,3.067970276e-03,8.122772580e-01,1.501201088e+00,3.676411608e-01,3.846470462e-01
-2.388408087,3.067970276e-03,8.203999832e-01,1.478913235e+00,3.718680391e-01,3.745498147e-01
-2.385340125,3.067970276e-03,8.363012958e-01,1.455429238e+00,3.718797418e-01,3.774321028e-01
-2.382272164,3.067970276e-03,8.508369044e-01,1.431314531e+00,3.707249043e-01,3.799971592e-01
-2.379204202,3.067970276e-03,8.692971462e-01,1.400258742e+00,3.717138574e-01,3.800596532e-01
-2.376136240,3.067970276e-03,8.952746216e-01,1.360382118e+00,3.691586193e-01,3.823118620e-01
-2.373068279,3.067970276e-03,9.277709943e-01,1.321035409e+00,3.688840057e-01,3.813192978e-01
-2.370000317,3.067970276e-03,9.709602484e-01,1.282703200e+00,3.663263715e-01,3.846388771e-01
-2.366932356,3.067970276e-03,1.004313537e+00,1.242923916e+00,3.651586818e-01,3.838888246e-01
-2.363864394,3.067970276e-03,1.038632255e+00,1.208517632e+00,3.611858194e-01,3.861292239e-01
-2.360796433,3.067970276e-03,1.084321092e+00,1.187019318e+00,3.601290550e-01,3.815477272e-01
-2.357728471,3.067970276e-03,1.103024197e+00,1.171270152e+00,3.563295834e-01,3.898672358e-01
-2.354660509,3.067731857e-03,1.026229902e+00,1.288769745e+00,3.151209682e-01,2.854683503e-01
-2.351592548,3.067970276e-03,1.006867819e+00,1.308571932e+00,3.098147701e-01,2.873203532e-01
-2.348524586,3.067970276e-03,9.888726716e-01,1.360131886e+00,3.126730865e-01,2.876863392e-01
-2.345456625,3.067970276e-03,9.605727658e-01,1.407245174e+00,3.114179089e-01,2.900006572e-01
-2.342388663,3.067970276e-03,9.275946750e-01,1.460907469e+00,3.122373069e-01,2.903678092e-01
-2.339320702,3.067970276e-03,8.923527361e-01,1.502277354e+00,3.111277125e-01,2.915765966e-01
-2.336252740,3.067970276e-03,8.647301286e-01,1.548584940e+00,3.114057435e-01,2.916369631e-01
-2.333184778,3.067970276e-03,8.361366082e-01,1.588750966e+00,3.098202463e-01,2.929967162e-01
-2.330116817,3.067970276e-03,8.141009437e-01,1.618057112e+00,3.110240809e-01,2.921464731e-01
-2.327048855,3.067970276e-03,7.948595931e-01,1.645799352e+00,3.083775519e-01,2.926978029e-01
-2.323980894,3.067970276e-03,7.812548833e-01,1.665220886e+00,3.063543927e-01,2.925095133e-01
