log2_x,count,native_sin,native_cos,std_sin,std_cos
-57,16777216,4.867697228e-24,0.000000000e+00,0.000000000e+00,0.000000000e+00
-56,16777216,9.735394456e-24,0.000000000e+00,0.000000000e+00,0.000000000e+00
-55,16777216,1.947078891e-23,0.000000000e+00,0.000000000e+00,0.000000000e+00
-54,16777216,3.894157782e-23,0.000000000e+00,0.000000000e+00,0.000000000e+00
-53,16777216,7.788315564e-23,0.000000000e+00,0.000000000e+00,0.000000000e+00
-52,16777216,1.557663113e-22,0.000000000e+00,0.000000000e+00,0.000000000e+00
-51,16777216,3.115326226e-22,0.000000000e+00,0.000000000e+00,0.000000000e+00
-50,16777216,6.230652452e-22,0.000000000e+00,0.000000000e+00,0.000000000e+00
-49,16777216,1.246130490e-21,0.000000000e+00,0.000000000e+00,0.000000000e+00
-48,16777216,2.492260981e-21,0.000000000e+00,0.000000000e+00,0.000000000e+00
-47,16777216,4.984521961e-21,0.000000000e+00,0.000000000e+00,0.000000000e+00
-46,16777216,9.969043922e-21,0.000000000e+00,0.000000000e+00,0.000000000e+00
-45,16777216,1.993808784e-20,0.000000000e+00,0.000000000e+00,0.000000000e+00
-44,16777216,3.987617569e-20,0.000000000e+00,0.000000000e+00,0.000000000e+00
-43,16777216,7.975235138e-20,0.000000000e+00,0.000000000e+00,0.000000000e+00
-42,16777216,1.595047028e-19,0.000000000e+00,0.000000000e+00,0.000000000e+00
-41,16777216,3.190094055e-19,0.000000000e+00,0.000000000e+00,0.000000000e+00
-40,16777216,6.380188110e-19,0.000000000e+00,0.000000000e+00,0.000000000e+00
-39,16777216,1.276037622e-18,0.000000000e+00,0.000000000e+00,0.000000000e+00
-38,16777216,2.552075244e-18,0.000000000e+00,0.000000000e+00,0.000000000e+00
-37,16777216,5.104150488e-18,0.000000000e+00,0.000000000e+00,0.000000000e+00
-36,16777216,1.020830098e-17,0.000000000e+00,0.000000000e+00,0.000000000e+00
-35,16777216,2.041660195e-17,0.000000000e+00,0.000000000e+00,0.000000000e+00
-34,16777216,4.083320391e-17,0.000000000e+00,0.000000000e+00,0.000000000e+00
-33,16777216,8.166640781e-17,0.000000000e+00,0.000000000e+00,0.000000000e+00
-32,16777216,1.633328156e-16,0.000000000e+00,0.000000000e+00,0.000000000e+00
-31,16777216,3.266656313e-16,0.000000000e+00,0.000000000e+00,0.000000000e+00
-30,16777216,6.533312625e-16,0.000000000e+00,0.000000000e+00,0.000000000e+00
-29,16777216,1.306662525e-15,0.000000000e+00,0.000000000e+00,0.000000000e+00
-28,16777216,2.613325050e-15,0.000000000e+00,0.000000000e+00,0.000000000e+00
-27,16777216,5.226650100e-15,6.503534851e-17,0.000000000e+00,6.503534851e-17
-26,16777216,1.045330020e-14,2.579367261e-16,1.845441086e-24,2.579367261e-16
-25,16777216,2.090660039e-14,1.035919720e-15,1.659733171e-23,1.035919720e-15
-24,16777216,4.181320067e-14,4.144760076e-15,1.323692167e-22,4.144760076e-15
-23,16777216,8.362640054e-14,1.657931113e-14,1.058800090e-21,1.657931113e-14
-22,16777216,1.672527947e-13,6.631731243e-14,8.470332884e-21,6.631731243e-14
-21,16777216,3.345055386e-13,2.652692666e-13,6.776263066e-20,2.652692666e-13
-20,16777216,6.690106707e-13,1.061077071e-12,5.421010267e-19,1.061077071e-12
-19,16777216,1.338018089e-12,4.244308281e-12,4.336808210e-18,4.244308281e-12
-18,16777216,2.676010157e-12,1.697723313e-11,3.469446564e-17,1.697723313e-11
-17,16777216,5.351812147e-12,6.790893253e-11,2.775557253e-16,6.790893253e-11
-16,16777216,1.070195896e-11,2.716357301e-10,2.220445802e-15,2.716357301e-10
