x_center,weight,fast_sin,fast_cos,std_sin,std_cos
-2.624641128,3.067970276e-03,1.724241589e+00,2.341627245e+00,8.556046857e-01,2.569402338e-01
-2.621573166,3.067970276e-03,2.732379043e+00,2.394337321e+00,8.567316553e-01,2.566886389e-01
-2.618505205,3.067970276e-03,2.669577351e+00,1.967759136e+00,7.182390276e-01,2.589260789e-01
-2.615437243,3.067970276e-03,1.089928037e+00,1.430580844e+00,4.356241037e-01,2.563041348e-01
-2.612369282,3.067970276e-03,7.379447201e-01,8.623201166e-01,4.378961921e-01,2.571191701e-01
-2.609301320,3.067970276e-03,7.751802432e-01,7.413217008e-01,4.386554758e-01,2.569309204e-01
-2.606233359,3.067731857e-03,8.250836841e-01,1.045569307e+00,4.414837171e-01,2.570701392e-01
-2.603165397,3.067970276e-03,8.110983879e-01,2.244098733e+00,4.422689702e-01,2.567801098e-01
-2.600097435,3.067970276e-03,1.052425408e+00,1.411508117e+00,4.435353391e-01,2.569993415e-01
-2.597029474,3.067970276e-03,1.012547545e+00,2.587584314e+00,4.449827297e-01,2.569148571e-01
-2.593961512,3.067970276e-03,1.239669031e+00,2.897933074e+00,4.456599637e-01,2.566864668e-01
-2.590893551,3.067970276e-03,9.645961005e-01,2.697473001e+00,4.506143948e-01,2.568328661e-01
-2.587825589,3.067970276e-03,7.171695544e-01,2.060117699e+00,4.490414609e-01,2.569595282e-01
-2.584757628,3.067970276e-03,9.136184267e-01,1.482478522e+00,4.542539939e-01,2.566047281e-01
-2.581689666,3.067970276e-03,1.101316860e+00,1.038503048e+00,4.550341869e-01,2.566001242e-01
-2.578621704,3.067970276e-03,8.170955441e-01,1.102265226e+00,4.598473554e-01,2.569114309e-01
-2.575553743,3.067970276e-03,1.005103173e+00,1.346259859e+00,4.611352449e-01,2.567151086e-01
-2.572485781,3.067970276e-03,1.423193447e+00,2.190941388e+00,4.630381758e-01,2.565307501e-01
-2.569417820,3.067970276e-03,1.109800512e+00,2.335858977e+00,4.646291100e-01,2.569587049e-01
-2.566349858,3.067970276e-03,7.371034057e-01,2.166858753e+00,4.692138258e-01,2.567751336e-01
-2.563281897,3.067970276e-03,9.305919250e-01,1.734503361e+00,4.723985791e-01,2.571300623e-01
-2.560213935,3.067970276e-03,1.374307251e+00,1.578868052e+00,4.764342957e-01,2.568611821e-01
-2.557145973,3.067970276e-03,1.300473675e+00,1.761555610e+00,4.827266786e-01,2.565208928e-01
-2.554078012,3.067970276e-03,8.222111683e-01,2.682526303e+00,4.812263039e-01,2.572691915e-01
-2.551010050,3.067970276e-03,1.119790596e+00,2.985752815e+00,4.832030999e-01,2.571232316e-01
-2.547942089,3.067970276e-03,7.799309394e-01,3.052767621e+00,4.891393996e-01,2.577116759e-01
-2.544874127,3.067970276e-03,8.682403551e-01,2.541982799e+00,4.930412741e-01,2.574602415e-01
-2.541806166,3.067970276e-03,7.356015708e-01,1.840505954e+00,4.963226202e-01,2.574303775e-01
-2.538738204,3.067970276e-03,7.246862585e-01,1.051249545e+00,4.990677473e-01,2.570636604e-01
-2.535670242,3.067970276e-03,8.741719377e-01,7.414414124e-01,5.041627037e-01,2.577056916e-01
