x,x_over_pi,native_sin,ref,abs_err
np.float32(102941.164),32767.190216,np.float32(-0.5626487),np.float64(-0.5626454303954098),3.283193e-06
np.float32(102941.17),32767.192703,np.float32(-0.56909),np.float64(-0.5690867748667828),3.233869e-06
np.float32(102941.18),32767.195190,np.float32(-0.5754966),np.float64(-0.5754933852145996),3.228765e-06
np.float32(102941.19),32767.197677,np.float32(-0.5818681),np.float64(-0.5818648704123851),3.241675e-06
np.float32(102941.195),32767.200164,np.float32(-0.588204),np.float64(-0.588200841577523),3.184645e-06
np.float32(102941.2),32767.202650,np.float32(-0.5945041),np.float64(-0.59450091199499),3.205971e-06
np.float32(102941.21),32767.205137,np.float32(-0.60076785),np.float64(-0.6007646971409596),3.153735e-06
np.float32(102941.22),32767.207624,np.float32(-0.6069949),np.float64(-0.6069918147062712),3.112223e-06
np.float32(102941.23),32767.210111,np.float32(-0.61318505),np.float64(-0.6131818846197644),3.163484e-06
np.float32(102941.234),32767.212598,np.float32(-0.6193376),np.float64(-0.6193345290714766),3.089280e-06
np.float32(102941.24),32767.215084,np.float32(-0.62545246),np.float64(-0.6254493725357022),3.086323e-06
np.float32(102941.25),32767.217571,np.float32(-0.6315291),np.float64(-0.6315260417939133),3.050995e-06
np.float32(102941.26),32767.220058,np.float32(-0.6375672),np.float64(-0.6375641659575385),3.056161e-06
np.float32(102941.266),32767.222545,np.float32(-0.6435664),np.float64(-0.6435633764906008),3.053124e-06
np.float32(102941.27),32767.225032,np.float32(-0.6495263),np.float64(-0.6495233072322101),2.990814e-06
np.float32(102941.28),32767.227518,np.float32(-0.6554466),np.float64(-0.6554435944189126),2.994574e-06
np.float32(102941.29),32767.230005,np.float32(-0.6613268),np.float64(-0.6613238767068929),2.948912e-06
np.float32(102941.3),32767.232492,np.float32(-0.66716677),np.float64(-0.6671637951940279),2.974311e-06
np.float32(102941.305),32767.234979,np.float32(-0.6729659),np.float64(-0.6729629934417934),2.890767e-06
np.float32(102941.31),32767.237465,np.float32(-0.678724),np.float64(-0.6787211174970186),2.873420e-06
np.float32(102941.32),32767.239952,np.float32(-0.68444073),np.float64(-0.6844378159134894),2.916089e-06
np.float32(102941.33),32767.242439,np.float32(-0.6901156),np.float64(-0.6901127397733997),2.831249e-06
np.float32(102941.336),32767.244926,np.float32(-0.6957484),np.float64(-0.6957455427086464),2.846059e-06
np.float32(102941.34),32767.247413,np.float32(-0.7013387),np.float64(-0.7013358809219712),2.827479e-06
np.float32(102941.35),32767.249899,np.float32(-0.70688623),np.float64(-0.7068834132079429),2.818691e-06
np.float32(102941.36),32767.252386,np.float32(-0.7123906),np.float64(-0.7123878009737841),2.800661e-06
np.float32(102941.37),32767.254873,np.float32(-0.71785146),np.float64(-0.717848708260036),2.751720e-06
np.float32(102941.375),32767.257360,np.float32(-0.72326857),np.float64(-0.7232658017610646),2.766755e-06
np.float32(102941.38),32767.259847,np.float32(-0.72864145),np.float64(-0.7286387508454032),2.699560e-06
np.float32(102941.39),32767.262333,np.float32(-0.7339699),np.float64(-0.7339672275759329),2.699258e-06
np.float32(102941.4),32767.264820,np.float32(-0.7392536),np.float64(-0.7392509067298981),2.673840e-06
np.float32(102941.41),32767.267307,np.float32(-0.7444921),np.float64(-0.7444894658187563),2.647771e-06
np.float32(102941.414),32767.269794,np.float32(-0.7496852),np.float64(-0.7496825851078612),2.642763e-06
np.float32(102941.42),32767.272281,np.float32(-0.75483257),np.float64(-0.7548299476359779),2.618148e-06
np.float32(102941.43),32767.274767,np.float32(-0.7599338),np.float64(-0.7599312392346279),2.590073e-06
np.float32(102941.44),32767.277254,np.float32(-0.7649887),np.float64(-0.7649861485472652),2.571870e-06
np.float32(102941.445),32767.279741,np.float32(-0.7699969),np.float64(-0.7699943670482794),2.514437e-06
np.float32(102941.45),32767.282228,np.float32(-0.77495813),np.float64(-0.7749555890618264),2.544636e-06
np.float32(102941.46),32767.284715,np.float32(-0.779872),np.float64(-0.7798695117804855),2.488437e-06
np.float32(102941.47),32767.287201,np.float32(-0.7847383),np.float64(-0.7847358352837414),2.466947e-06
np.float32(102941.48),32767.289688,np.float32(-0.7895567),np.float64(-0.7895542625562894),2.419554e-06
np.float32(102941.484),32767.292175,np.float32(-0.7943269),np.float64(-0.7943244995061637),2.401930e-06
np.float32(102941.49),32767.294662,np.float32(-0.79904866),np.float64(-0.7990462549826878),2.407203e-06
np.float32(102941.5),32767.297149,np.float32(-0.8037216),np.float64(-0.8037192407942441),2.365937e-06
np.float32(102941.51),32767.299635,np.float32(-0.8083455),np.float64(-0.8083431717258642),2.324929e-06
np.float32(102941.516),32767.302122,np.float32(-0.8129201),np.float64(-0.8129177655566366),2.327980e-06
np.float32(102941.52),32767.304609,np.float32(-0.81744504),np.float64(-0.8174427430769323),2.296672e-06
np.float32(102941.53),32767.307096,np.float32(-0.8219201),np.float64(-0.8219178281054459),2.268769e-06
