x,native_cos,std_cos
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
1.570794701576232910e+00,1.668955519562587142e-06,1.625218715162191074e-06
