x_center,weight,native_sin,native_cos,std_sin,std_cos
-2.799514938,3.067970276e-03,7.826954372e-01,2.544333084e-01,2.501813586e-01,3.261397757e-01
-2.796446976,3.067970276e-03,1.021843185e+00,2.705554240e-01,2.500830299e-01,3.275164822e-01
-2.793379015,3.067970276e-03,7.082696882e-01,2.883337795e-01,2.500989694e-01,3.305117379e-01
-2.790311053,3.067970276e-03,9.830668433e-01,5.158169811e-01,2.501133784e-01,3.294090895e-01
-2.787243092,3.067970276e-03,9.290209947e-01,5.747513606e-01,2.501445455e-01,3.325947733e-01
-2.784175130,3.067970276e-03,6.487395835e-01,2.831047053e-01,2.501499273e-01,3.334060559e-01
-2.781107168,3.067970276e-03,1.353180041e+00,2.509039955e-01,2.501613689e-01,3.348219243e-01
-2.778039207,3.067970276e-03,8.240375571e-01,2.628722369e-01,2.501695670e-01,3.378440283e-01
-2.774971245,3.067731857e-03,1.026657268e+00,3.300150432e-01,2.502206827e-01,3.370034628e-01
-2.771903284,3.067970276e-03,1.053498941e+00,4.453484497e-01,2.502352757e-01,3.379684262e-01
-2.768835322,3.067970276e-03,5.168326750e-01,5.856278865e-01,2.501959199e-01,3.419493233e-01
-2.765767361,3.067970276e-03,1.556490848e+00,5.193854982e-01,2.502416324e-01,3.418320236e-01
-2.762699399,3.067970276e-03,9.846154405e-01,4.164403921e-01,2.501468745e-01,3.444304103e-01
-2.759631437,3.067970276e-03,1.040063208e+00,4.239261311e-01,2.502595655e-01,3.469577933e-01
-2.756563476,3.067970276e-03,1.035758232e+00,2.933538102e-01,2.502560126e-01,3.476196385e-01
-2.753495514,3.067970276e-03,4.877410326e-01,4.843123563e-01,2.503445233e-01,3.485554301e-01
-2.750427553,3.067970276e-03,1.509163392e+00,5.168525887e-01,2.498907477e-01,3.524248603e-01
-2.747359591,3.067970276e-03,9.639755433e-01,4.225755450e-01,2.503631304e-01,3.544877449e-01
-2.744291630,3.067970276e-03,1.082654498e+00,3.772986975e-01,2.503690559e-01,3.567493202e-01
-2.741223668,3.067970276e-03,1.285482340e+00,4.666623806e-01,2.503394353e-01,3.599984415e-01
-2.738155706,3.067970276e-03,7.199028268e-01,2.902545703e-01,2.504105792e-01,3.598817193e-01
-2.735087745,3.067970276e-03,1.100446033e+00,3.958294727e-01,2.504327847e-01,3.620221512e-01
-2.732019783,3.067970276e-03,9.834728722e-01,4.056436676e-01,2.508802670e-01,3.643943643e-01
-2.728951822,3.067970276e-03,1.146131245e+00,4.100275575e-01,2.511920738e-01,3.663457902e-01
-2.725883860,3.067970276e-03,1.342095347e+00,3.419834891e-01,2.504761430e-01,3.700574032e-01
-2.722815898,3.067970276e-03,7.240634000e-01,3.208141647e-01,2.505150577e-01,3.725823291e-01
-2.719747937,3.067970276e-03,9.561865937e-01,3.899084316e-01,2.506379327e-01,3.722095989e-01
-2.716679975,3.067970276e-03,5.839530099e-01,3.436359789e-01,2.507717707e-01,3.752876105e-01
-2.713612014,3.067970276e-03,6.672919147e-01,3.103447886e-01,2.506901242e-01,3.762094275e-01
-2.710544052,3.067970276e-03,8.263873771e-01,4.096668271e-01,2.507115515e-01,3.821179653e-01
-2.707476091,3.067970276e-03,4.284425526e-01,2.633824780e-01,2.508157649e-01,3.839722132e-01
-2.704408129,3.067970276e-03,1.398201391e+00,3.061276954e-01,2.509057139e-01,3.864017660e-01
-2.701340167,3.067970276e-03,7.849885290e-01,2.998360359e-01,2.509644438e-01,3.882952314e-01
-2.698272206,3.067970276e-03,7.816056408e-01,3.056592729e-01,2.510641194e-01,3.925178813e-01
-2.695204244,3.067970276e-03,1.016565327e+00,3.103498201e-01,2.510409823e-01,3.932972678e-01
-2.692136283,3.067970276e-03,6.398832478e-01,3.431821072e-01,2.510993388e-01,3.973588638e-01
-2.689068321,3.067731857e-03,1.039619034e+00,4.517135962e-01,2.513116158e-01,3.981795638e-01
-2.686000360,3.067970276e-03,8.157254608e-01,4.201864120e-01,2.510446061e-01,3.982701009e-01
-2.682932398,3.067970276e-03,6.598202875e-01,4.209375850e-01,2.511817321e-01,4.045673389e-01
-2.679864436,3.067970276e-03,8.550354751e-01,3.933948328e-01,2.512723299e-01,4.096259158e-01
-2.676796475,3.067970276e-03,5.614713068e-01,4.134770358e-01,2.512971218e-01,4.090892161e-01
-2.673728513,3.067970276e-03,1.007431025e+00,3.930128086e-01,2.513709193e-01,4.116402088e-01
-2.670660552,3.067970276e-03,7.871362821e-01,3.090099195e-01,2.512613584e-01,4.113407935e-01
-2.667592590,3.067970276e-03,5.986383747e-01,2.977088815e-01,2.513569922e-01,4.185552178e-01
-2.664524629,3.067970276e-03,8.273744941e-01,7.191377042e-01,2.513461132e-01,4.221026380e-01
-2.661456667,3.067970276e-03,6.178775854e-01,4.932948568e-01,2.512996832e-01,4.245109716e-01
-2.658388705,3.067970276e-03,8.952292931e-01,2.668130920e-01,2.514322341e-01,4.247615781e-01
-2.655320744,3.067970276e-03,7.118702380e-01,2.509990297e-01,2.514186015e-01,4.255889188e-01
-2.652252782,3.067970276e-03,3.181193234e-01,2.736729115e-01,2.514952530e-01,4.312632363e-01
-2.649184821,3.067970276e-03,4.869781999e-01,4.736920417e-01,2.514171121e-01,4.345134006e-01
-2.646116859,3.067970276e-03,5.275955092e-01,2.908548056e-01,2.514228231e-01,4.383730556e-01
-2.643048898,3.067970276e-03,6.042257757e-01,2.684402696e-01,2.678139091e-01,4.406936110e-01
-2.639980936,3.067970276e-03,8.609321219e-01,2.910047774e-01,9.045766641e-01,4.417420422e-01
