index,ref_real,ref_imag,lut_real,lut_imag,lut_abs_err,lut_rel_err,fast_real,fast_imag,fast_abs_err,fast_rel_err
70,-4.88700566720704188e+00,2.67888978718678938e+00,-4.88701009750366211e+00,2.67889142036437988e+00,4.72173667047536026e-06,8.47239327424334021e-07,-4.88701057434082031e+00,2.67888712882995605e+00,5.58093387998188226e-06,1.00140837934519945e-06
71,2.04201576699146869e+00,5.16395518040571488e+00,2.04201316833496094e+00,5.16395473480224609e+00,2.63658455140506921e-06,4.74800145224556468e-07,2.04201173782348633e+00,5.16395568847656250e+00,4.06107505672158917e-06,7.31324556108649257e-07
72,3.28401288502499540e+01,-1.55212941808946479e+01,3.28401260375976562e+01,-1.55212926864624023e+01,3.18501816075909167e-06,8.76851807922359889e-08,3.28401145935058594e+01,-1.55212841033935547e+01,1.74588310164772788e-05,4.80650557338125085e-07
73,2.99179873197869775e+01,1.26390411965491438e+01,2.99179840087890625e+01,1.26390419006347656e+01,3.38503231234891880e-06,1.04224857235295713e-07,2.99179840087890625e+01,1.26390323638916016e+01,9.43284402773645054e-06,2.90436466005676488e-07
74,-1.09775170154309176e+01,-1.74879862667651551e+01,-1.09775152206420898e+01,-1.74879894256591797e+01,3.63316368952050058e-06,1.75958071932224939e-07,-1.09775133132934570e+01,-1.74879875183105469e+01,3.90796464221185899e-06,1.89266981173000610e-07
75,-4.24692793834919158e+00,1.21810193444977894e+01,-4.24692535400390625e+00,1.21810207366943359e+01,2.93548152401894558e-06,2.27554225971719926e-07,-4.24692726135253906e+00,1.21810140609741211e+01,5.32672008102254343e-06,4.12919534695487025e-07
76,-2.14157096454326457e+01,-1.46252152101197570e+01,-2.14157123565673828e+01,-1.46252136230468750e+01,3.14150471841057199e-06,1.21138456019539696e-07,-2.14157028198242188e+01,-1.46252117156982422e+01,7.66811007489367505e-06,2.95687289475239199e-07
77,1.45905355866019981e+01,-1.41635604167710980e+01,1.45905342102050781e+01,-1.41635580062866211e+01,2.77577086496704517e-06,1.36505772505041633e-07,1.45905323028564453e+01,-1.41635608673095703e+01,3.31450897880926750e-06,1.62999624478235652e-07
78,1.08703076099507765e+01,2.95785173110169488e+01,1.08703088760375977e+01,2.95785140991210938e+01,3.45242680189863239e-06,1.09556569366554929e-07,1.08703050613403320e+01,2.95785140991210938e+01,4.10020611449965805e-06,1.30112683447283593e-07
79,1.03699995233615869e+01,-1.92656723239389116e+00,1.03700037002563477e+01,-1.92656826972961426e+00,4.30377918167830563e-06,4.08040055636483090e-07,1.03699941635131836e+01,-1.92656004428863525e+00,8.96642805562337903e-06,8.50104442684336595e-07
80,-2.32040022466068550e+01,1.21569081041265434e+01,-2.32039985656738281e+01,1.21569061279296875e+01,4.17787289914420260e-06,1.59486806096927689e-07,-2.32039985656738281e+01,1.21569080352783203e+01,3.68157683959237841e-06,1.40541118823237587e-07
81,-2.19589236368187954e+01,-7.41499949602362118e+00,-2.19589233398437500e+01,-7.41499805450439453e+00,1.47179205678844094e-06,6.35020775480720033e-08,-2.19589176177978516e+01,-7.41500234603881836e+00,6.65966964248346411e-06,2.87338728409997797e-07
82,-6.26786015578496247e+00,-2.79076835298383799e+01,-6.26785850524902344e+00,-2.79076843261718750e+01,1.83259813421739889e-06,6.40704010358769303e-08,-6.26785659790039062e+00,-2.79076824188232422e+01,3.72731770348547337e-06,1.30312661347557760e-07
83,1.07526452463128557e+01,-9.74427209140372597e+00,1.07526454925537109e+01,-9.74427318572998047e+00,1.12168824104287978e-06,7.72989675560706404e-08,1.07526416778564453e+01,-9.74426555633544922e+00,7.44587124078923058e-06,5.13117761610236796e-07
84,4.88502185287167876e+01,1.57228020357783311e+01,4.88502197265625000e+01,1.57228002548217773e+01,2.14630859784584525e-06,4.18235941898900770e-08,4.88502082824707031e+01,1.57227926254272461e+01,1.39118750126407653e-05,2.71090846643921990e-07
85,-2.60438441999458021e+01,-4.55657926324312612e+00,-2.60438442230224609e+01,-4.55658340454101562e+00,4.14136218432910523e-06,1.56635747593971011e-07,-2.60438365936279297e+01,-4.55657672882080078e+00,8.01744149338433967e-06,3.03237892802322032e-07
86,-1.16770878199443384e+00,9.39321419408488723e+00,-1.16770696640014648e+00,9.39321231842041016e+00,2.61045970028734721e-06,2.75786270629426086e-07,-1.16770887374877930e+00,9.39320278167724609e+00,1.14127764819638150e-05,1.20572137663782427e-06
